id_partner,marketplace,country_code,is_fbn,item_nr,sku,brand_en,title_en,purchase_item_nr,awb_nr,base_price,invoice_price,item_status,cancel_reason,ordered_date,shipped_date,delivered_date,cancelled_date,returned_date,estimated_shipping_date
76776,noon,AE,FBN,NAEG50042864997-2,Z20BC64FB66CFC02D83FEZ-1,iUNIK,Beta Glucan Vegan Lightweight Non Sticky Deep Moisture Watery Cream Daily Moisturizer Quick Absorption Dry Mature Sensitive Fine lines Skin Naturally Derived Centella Vitamin Korean Skincare,NAEG50042864997-2-P1,,45,40.5,Delivered,,15-May-24,16-May-24,17-May-24,,,17-May-24
76776,noon,AE,FBN,NAEG50070644057-4,Z4AC627A0BF0D9564E2D3Z-1,iUNIK,Rose Galactomyces Silky Tone Up Cream 40ml / 1.35fl.oz,NAEG50070644057-4-P1,,80,72,Delivered,,16-May-24,17-May-24,18-May-24,,,18-May-24
76776,noon,AE,FBN,NAEG50053722151-7,ZFB6F819374BCCB16E0CCZ-1,iUNIK,Calendula Complete Deep Vegan Cleansing Oil 94% Plant-based Oils Blackhead Melting Makeup Remover Mascara Sunscreen Eyeliner Facial Cleanser - Dry Oily Acne-Prone Sensitive Skin Korean Skincare,NAEG50053722151-7-P1,,55,55,Delivered,,16-May-24,17-May-24,18-May-24,,,18-May-24
76776,noon,AE,FBN,NAEG50025180914-2,ZFB6F819374BCCB16E0CCZ-1,iUNIK,Calendula Complete Deep Vegan Cleansing Oil 94% Plant-based Oils Blackhead Melting Makeup Remover Mascara Sunscreen Eyeliner Facial Cleanser - Dry Oily Acne-Prone Sensitive Skin Korean Skincare,NAEG50025180914-2-P1,,55,55,Delivered,,16-May-24,16-May-24,18-May-24,,,18-May-24
76776,noon,AE,FBN,NAEG50079015287-3,Z15AE7B1434DA3939AE28Z-1,iUNIK,"Tea Tree 67% Relief Vegan Facial Serum for Clear & Balanced Skin - Plant-based Ingredients w/Centella Asiatica for Soothing, Calming, Irritated Skin - Korean Skincare for Sensitive Oily Skin",NAEG50079015287-3-P1,,57,,Cancelled,,16-May-24,,,16-May-24,,18-May-24
76776,noon,AE,FBN,NAEG50052032736-6,Z15AE7B1434DA3939AE28Z-1,iUNIK,"Tea Tree 67% Relief Vegan Facial Serum for Clear & Balanced Skin - Plant-based Ingredients w/Centella Asiatica for Soothing, Calming, Irritated Skin - Korean Skincare for Sensitive Oily Skin",NAEG50052032736-6-P1,,57,57,Delivered,,16-May-24,18-May-24,21-May-24,,,21-May-24
76776,noon,AE,FBN,NAEG50037627290-4,Z15AE7B1434DA3939AE28Z-1,iUNIK,"Tea Tree 67% Relief Vegan Facial Serum for Clear & Balanced Skin - Plant-based Ingredients w/Centella Asiatica for Soothing, Calming, Irritated Skin - Korean Skincare for Sensitive Oily Skin",NAEG50037627290-4-P1,,57,,Cancelled,,16-May-24,,,16-May-24,,18-May-24
76776,noon,AE,FBN,NAEG50061240901-4,Z20BC64FB66CFC02D83FEZ-1,iUNIK,Beta Glucan Vegan Lightweight Non Sticky Deep Moisture Watery Cream Daily Moisturizer Quick Absorption Dry Mature Sensitive Fine lines Skin Naturally Derived Centella Vitamin Korean Skincare,NAEG50061240901-4-P1,,45,40.5,Delivered,,17-May-24,18-May-24,19-May-24,,,19-May-24
76776,noon,AE,FBN,NAEG50057343373-2,ZFB6F819374BCCB16E0CCZ-1,iUNIK,Calendula Complete Deep Vegan Cleansing Oil 94% Plant-based Oils Blackhead Melting Makeup Remover Mascara Sunscreen Eyeliner Facial Cleanser - Dry Oily Acne-Prone Sensitive Skin Korean Skincare,NAEG50057343373-2-P1,,55,55,Delivered,,17-May-24,18-May-24,20-May-24,,,20-May-24
76776,noon,AE,FBN,NAEG50061240901-5,ZFB6F819374BCCB16E0CCZ-1,iUNIK,Calendula Complete Deep Vegan Cleansing Oil 94% Plant-based Oils Blackhead Melting Makeup Remover Mascara Sunscreen Eyeliner Facial Cleanser - Dry Oily Acne-Prone Sensitive Skin Korean Skincare,NAEG50061240901-5-P1,,55,49.5,Delivered,,17-May-24,18-May-24,19-May-24,,,19-May-24
